AvailabilityCode|AvailabilityCodeDescription|CVComment|CVTitle|CandidatePermission|CandidateStatusCode|CandidateStatusCodeDescription|CurrentEmployer|CurrentJob|ExternalID|ExtraInfo|HighestEducationLevelCode|HighestEducationLevelCodeDescription|Last3Experiences|ProfilePicture|SalaryCode|SalaryCodeDescription|TotalExperienceYears|id
|||||||Lello Imóveis|Analista Desenvolvedor Java Sênior Backend|||3|University|Desenvolvedor de aplicativos java sênior, System Analist||||5|cv26412.xml
|||||||CTIS Informática|Analista de Business Intelligence|||5|Master|Analista de Business Intelligence, Professor de Data Warehouse, Desenvolvedor Java||||18|cv2690.xml
|||||||||||4|Bachelor||||||cv10965.xml
|||||||Stefanini IT Solutions|Analista de Teste|||5|Master|Analista de Teste, Analista de Teste, Analista de Testes||||20|cv2824.xml
|||||||KDOIS Segurança Eletrônica|Técnico em informática e Administrativo|||4|Bachelor|Técnico em informática (experiência)|||||cv7046.xml
|||||||CRP|Psicóloga|||5|Master|Estágio, Psicóloga Clínica, Psicóloga||||4|cv9226.xml
||||0|||Sicoob Confederação|Programador Java Pleno|||||Programador Java Pleno, Programador Java Pleno, Programador Java Pleno||||11|cv22830.xml
||||0|||Everis Brasil|Analista Programador|||4|Bachelor|Analista Programador, Programador web, Programador/desenvolvedor||||7|cv33262.xml
||||0|||Brigadeiro rosa em DF|Representante Comercial|||4|Bachelor|Representante Comercial, Atendente de Call Center ­ Ativo||||5|cv29207.xml
||||0|||ABC DataSaúde|Analista de Sistemas|||4|Bachelor|Analista Desenvolvedor de Sistemas Senior, Analista Desenvolvedor de Sistemas Sênior, Analista Desenvolvedor de Sistemas Pleno||||10|cv10663.xml
||||0|||Palácio do Buriti ­ Anexo/ Secretaria de Planejamento em DF|Estágio em Recursos Humanos|||4|Bachelor|Estágio em Recursos Humanos||||5|cv29276.xml
||||0|||RSI Informática|Estagiário Analista de Teste|||4|Bachelor|Estagiário Analista de Teste, Auxiliar Administrativo||||4|cv33576.xml
|||||||CORRETORA - Autônoma|Corretora|||4|Bachelor|Assistente Administrativo e Financeiro, Corretora||||7|cv6318.xml
|||||||Stefanini Solutions|Analista de Requisitos|||4|Bachelor|Analista de Requisitos/Processos, Analista de Sistema, Analista de Sistema||||12|cv2395.xml
|||||||SUPREMO TRIBUNAL FEDERAL STF|ADMINISTRATIVA EM INFORMÁTICA|||1|Secondary Education|BANCO DE DADOS EM INFORMÁTICA, ADMINISTRATIVA EM INFORMÁTICA||||2|cv8263.xml
|||||||Fundo Nacional de Desenvolvimento da Educação - FNDE|Consultor OEI|||4|Bachelor|Analista de Desenvolvimento WEB, Analista de Desenvolvimento Pleno, Estagiário||||4|cv12813.xml
||||||||Membro da Empresa Júnior de Psicologia - Praxis|||1|Secondary Education|Consultora do Núcleo de Seleção e Treinamento., Membro da Empresa Júnior de Psicologia - Praxis||||1|cv5654.xml
|||||||Grupo Netshoes|Desenvolvedor de front-end|||||Front End Developer, Front End Developer, WebMaster|||||cv32646.xml
|||||||||||5|Master||||||cv17818.xml
|||||||TELEPERFORMANCE (SKY)|Auxiliar de Laboratório Clínico|||4|Bachelor|Auxiliar de Laboratório Clínico, Auxiliar de Laboratório Clínico, Semeadura de Estreptococos||||8|cv6463.xml
|||||||UNESCO|Developer|||4|Bachelor|Programador Sênior, Programador Pleno, Webmaster Pleno||||8|cv9035.xml
||||0|||UniCEUB|Engenheiro de Computação, Tecnologia da Informação|||||Analista de sistemas, Suporte Técnico, Menor Aprendiz||||9|cv26186.xml
||||||||||||||||||cv25463.xml
|||||||CAST (INEP)|Testador Sr.|||4|Bachelor|Analista de Testes Sr., Gerente de Desenvolvimento e Qualidade, Caixa||||10|cv1557.xml
|||||||UnB|Analista de Redes|||4|Bachelor|Analista de Segurança, Estagiário, Analista, Programador||||10|cv12616.xml
|||||||CTIS|Desenvolvedor Java Pleno|||4|Bachelor|Analista de Middleware Jr., Desenvolvedor Java Pleno||||9|cv4554.xml
||||0|||LINX Sistemas e Consultoria Ltda - Recife/PE|Gerente de Projetos|||5|Master|Líder, Consultor de Negócios, Consultor Negócios - (área de TI)||||21|cv18372.xml
||||0|||Microcity (Caixa Seguros)|Técnico de Suporte Pleno|||4|Bachelor|Analista de Infraestrutura, Analista de Suporte, Secretaria de Desenvolvimento Urbano e Meio Ambiente||||7|cv14742.xml
||||0|||Mazzatech Systems & Outsourcing|Analista de R&S Sr|||5|Master|Analista de RH Sr, ADM Analyst, Psicóloga Voluntária||||16|cv37150.xml
||||0|||Bagolêlê Sorvetes|Atendente|||4|Bachelor|Empacotadora, Balconista||||2|cv39347.xml
|||||||||||4|Bachelor||||||cv15667.xml
||||0|||Digital|Innovation Blockchain Distributed Ledger Technology Professional Services & Training|||5|Master|Latam Enterprise Digital Business Services Portfolio Engagement to Delivery Head, Enterprise Business Development & Sales Manager Brazil||||2|cv36507.xml
|||||||BRB|Estagiária|||4|Bachelor|||||3|cv7736.xml
||||0|||Engevix Engenharia SA|Técnico de Suporte|||4|Bachelor|Auxiliar Técnico de Suporte||||10|cv14641.xml
||||0|||Aduana Despachos LTDA|Auxiliar TI|||4|Bachelor|Auxiliar TI||||8|cv33013.xml
|||||||BK Tecnologia|Proprietário|||5|Master|Proprietário, Sócio Diretor, Coordenador de TI||||7|cv26720.xml
||||0|||Inova Contabilidades|Auxiliar de Contabilidade|||1|Secondary Education|Auxiliar de Contabilidade, Instrutor Kids de Inglês||||2|cv20449.xml
|||||||Ministério do Desenvolvimento Social|Estágio|||1|Secondary Education|Assistente de Produção e Almoxarifado, Técnico, Coordenação Pedagógica/Técnico|||||cv21211.xml
||||0||||||||||||||cv24307.xml
|||||||||||5|Master||||||cv9202.xml
||||0|||Sá Camisas Personalizadas|Desenvolvedor|||4|Bachelor|Programador Web (Desenvolvedor)|||||cv33971.xml
||||0|||Banco do Brasil|Gerente de Equipe|||5|Master|Coordenador de Datacenter, Analista de Suporte, Analista de Suporte||||10|cv18936.xml
|||||||Anexo do palácio dos Buritis|Estágio Administrativo|||4|Bachelor|Auxiliar Administrativo|||||cv11310.xml
||||0|||Centro Brasileiro de Pesquisa em Avaliação e Seleção e de Promoção de Eventos - Cebraspe (antigo CESPE)|Analista Administrativo Gestão de Controle - TI|||5|Master|Analista de Contratos, Chefe de Serviço de Pagamento RH, Auxiliar Administrativo Departamento Financeiro||||16|cv36799.xml
|||||||Grupo 954 - Business Consulting|Gerente do PMO|||5|Master|Analista de Projetos, Gerente de Projetos, Assistente - Escritório de Projetos - Gestão de Projetos Setoriais em Comércio Exterior||||12|cv3859.xml
||||0|||Rudnik Comércio de Produtos Químicos Ltda (115 empregados)|Analista Recursos Humanos|||||Analista de Recursos Humanos, Coordenadora RH, Analista de Recursos Humanos||||24|cv39157.xml
||||0|||Link Data Informática e Serviços S.A. entrou|Analista Desenvolvedor Java|||||||||4|cv1270.xml
|||||||Banco Do Brasil na dependência 7418 - Cesup Plataforma Brasília|Estágio|||||||||1|cv12629.xml
|||||||GrupoNT - NT Soluções (www.grupont.com.br)|Analista de Desenvolvimento Web Java|||5|Master|Analista de Desenvolvimento Java Web / Centura - Pleno, Técnico de Projetos, Consultor de Sistemas ERP - Sênior Sistemas||||3|cv660.xml
||||0|||DevFactory|Software Architect|||||Software Architect, Senior System Analyst||||23|cv22680.xml
|||||||TM Solutions na Caixa Econômica Federal|Técnico Microinformática Especialista|||4|Bachelor|Auxiliar Administrativo, Workshop de Administração I, Workshop de Administração II||||3|cv25263.xml
|||||||CTIS|Consultor Microsoft|||4|Bachelor|Especialista Microsoft, Consultor Microsoft, Analista de Suporte Técnico Sr.||||8|cv7822.xml
|||||||Brasil Consultoria em Marketing LTDA|Representante de canal|||||Técnico em informática III, Programador, Distribuidor|||||cv19792.xml
|||||||Núcleo de Práticas Profissionais Sena Aires|Estágio Supervisionado|||1|Secondary Education|Recepcionista|||||cv11410.xml
|||||||||||4|Bachelor||||||cv22015.xml
|||||||Banco Central do Brasil|Estagiário|||1|Secondary Education|Estagiário||||3|cv11811.xml
||||0|||UNIEURO Engenharia de Software - Pós Graduação, Engenharia de Software|CEO|||||Analista de Sistemas||||4|cv21241.xml
|||||||Unisys Informática LTDA|Assistente de Suporte técnico UTS III|||4|Bachelor|Estagiário FullStack Web Developer|||||cv33275.xml
|||||||||||4|Bachelor||||||cv4249.xml
|||||||Bold Tecnologia Brasília - DF|Pleno QA Analyst|||5|Master|Analista de Teste Pleno, Analista de Teste||||4|cv26533.xml
|||||||Caixa Seguradora|DBA|||4|Bachelor|DBA Administrador de Banco de Dados, DBA Administrador de Banco de Dados, Analista de Sistemas Pleno||||5|cv12964.xml
||||0|||NTI/UFMA - Núcleo de Tecnologia da Informação|Desenvolvedor Web|||4|Bachelor|Programador, Monitor laboratorial e pedagógico, Auxiliar Administrativo||||6|cv25356.xml
||||0|||Flórida, Estados Unidos|Booraa Software|||4|Bachelor|Booraa Software, Programador||||2|cv33472.xml
|||||||CENTRO GESTOR OPERACIONAL DO SISTEMA DE PROTEÇÃO DA AMAZÔNIA|Suporte Técnico|||4|Bachelor||||||cv33588.xml
||||0|||ENAP - ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA|ESTAGIÁRIO EM INFRAESTRUTURA DE TI|||4|Bachelor|||||2|cv14588.xml
||||0|||Intec TI Logística S/A ( YEPLOG )|Analista de Segurança da Informação II|||4|Bachelor|Analista de Segurança da Informação, Analista de Suporte, Analista de Suporte Técnico||||7|cv26409.xml
||||0|||Grupo na Oslo and Akershus University College em Oslo, Noruega|Estágio Supervisionado|||5|Master|Estágio Supervisionado||||3|cv26955.xml
||||0|||IESB Especialização em Segurança da Informação, Tecnologia da Informação|Analista de Garantia da Qualidade Sênior|||||Analista de Garantia da Qualidade Sênior, Analista de Homologação, Analista de Homologação||||10|cv23981.xml
|||||||BB TECNOLOGIA E SERVIÇOS em DF|Analista de Sistemas|||||Analista de Sistemas, Técnico de Suporte TI Senior, Analista||||11|cv29538.xml
||||0|||empresa ANAC|Estágio em Psicologia Organizacional e do Trabalho|||1|Secondary Education|Estágio em Psicologia Organizacional e do Trabalho|||||cv26789.xml
||||0|||Cetest Minas Engenharia e Serviços S.A|Analista de Recursos Humanos|||5|Master|Auxiliar Administrativo, Auxiliar Administrativo||||9|cv36313.xml
|||||||Vitis Consultoria em TI|Consultora de Projetos e Processos|||5|Master|Consultora de Projetos e Processos, Coordenação Geral de Gestão de Projetos, Analista de Sistemas||||9|cv33120.xml
||||0|||||||4|Bachelor||||||cv21748.xml
|||||||Exército Brasileiro - Batalhão da Guarda Presidencial|Aluno à Aspirante Oficial R/2|||4|Bachelor|Estagiário||||3|cv7921.xml
|||||||STEFANINI|Gerente de Projetos|||||Gerente de Projetos, IT Specialist Sr, Consultor TI II||||25|cv3876.xml
|||||||Comitê Político|Analista de Suporte e Infraestrutura|||4|Bachelor|Auxiliar de Informática - Suporte e Infraestrutura||||3|cv4497.xml
|||||||Stefanini IT Solutions|Técnico de Suporte Jr.|||4|Bachelor|Estagiário em Infraestrutura de TI., Estagiário em Suporte Técnico, Auxiliar da Seção de Pessoal||||10|cv5858.xml
|||||||Central It - Governança Corporativa|Analista de Monitoração|||4|Bachelor|Assistente Técnico de Suporte, Analista de Suporte Jr., Assistente Técnico||||8|cv11599.xml
||||0|||ANAC/ G&P|Analista de Suporte Jr.|||4|Bachelor|Estagiária/ Suporte Técnico, Estagiária||||0|cv14584.xml
|||||||Hospital Veterinário Oliver|Auxiliar de Serviços Diversos|||4|Bachelor|Agente Patrimonial e Conferente - Biblioteca, Repositor de Estoque, Repositor de Estoque Conferista||||9|cv4928.xml
|||||||||||4|Bachelor||||||cv26433.xml
||||0|||Lojas Americanas S.A - LASA|Estágio|||4|Bachelor|Estágio||||1|cv37767.xml
||||0||||Recursos Humanos ­ Recursos Humanos (Generalista)|||4|Bachelor|Estagiário, Vendedor||||4|cv29401.xml
|||||||CTIS|Programador de Sistemas|||4|Bachelor|Consultor Especialista de B.I., Desenvolvedor Sênior, Arquiteto||||10|cv16103.xml
|||||||Mundo|Produtor de eventos corporativos temporário|||4|Bachelor|delegado, capacitador, consultor||||9|cv27889.xml
||||0|||Datainfo Soluções|Analista de Sistemas|||4|Bachelor|Analista de Sistemas, Engenheiro de Testes Jr na C.E.S.A.R, Programador||||10|cv7804.xml
||||0||||||||||||||cv27594.xml
||||0||||||||||||||cv26208.xml
||||0|||Universidade Paulista|Associate of Arts and Sciences (A.A.S.), Gestão de Sistemas de Informação|||||Analista Programador, Programador Junior, Associate of Arts and Sciences (A.A.S.), Gestão de Sistemas de Informação||||6|cv21792.xml
||||||||Correspondente bancária|||4|Bachelor|||||1|cv11240.xml
||||0|||Experience|Técnico de Tecnologia|||||Técnico de Tecnologia, Instrutor de Informática, Computação||||7|cv26198.xml
||||0|||Experience|Gerente de Arquitetura|||||de projetos, Gerente de Arquitetura, Gerente||||11|cv38589.xml
||||||||Web designer e desenvolvedor front-end / Rothier Estúdio|||4|Bachelor|Web designer e desenvolvedor front-end / Rothier Estúdio, Web designer e desenvolvedor front-end / Achei Mídia, Designer gráfico||||4|cv1133.xml
||||0|||Manpower Staffing|Analista de Adm(Temporário)|||||Operdador de Hipermercado||||3|cv37613.xml
||||0|||TOTVS - Belém - PA|Analista de Sistemas (alocado)|||4|Bachelor|Analista de Sistemas, Programador de||||2|cv36291.xml
||||0|||Central IT Ltda|Analista da Qualidade de Contrato|||5|Master|Coordenador de Implantação, Gestor de Contrato, Gerente Nacional de Negócios||||32|cv19877.xml
|||||||Vivante Energia S/A - Piraí/RJ|Supervisor Técnico Instalações|||4|Bachelor|Supervisor Técnico Instalações, Técnico de Manutenção Eletromecânica, Técnico de Manutenção Eletroeletrônica - Central de Utilidades e Termelétrica||||10|cv12460.xml
|||||||Drogaria Rosário S/A|Operador de Caixa, Auxiliar de Gerente, Balconista|||4|Bachelor|||||4|cv4268.xml
||||0|||SPM|Call Contact Center|||4|Bachelor|Call Contact Center||||6|cv36760.xml
||||0|||Ferramentas Case|Designer|||5|Master|Gerenciamento de Projetos, Designer||||1|cv18373.xml
||||0|||Carrefour Comércio e Industria LTDA|Operador de caixa|||4|Bachelor|||||1|cv18892.xml
||||0|||Innovix *|Analista de desenvolvedor|||4|Bachelor|Desenvolvedor e Instrutor, Desenvolvedor, Webmaster||||10|cv36256.xml
|||||||Salão La Belle Studio|Recepcionista|||||||||1|cv11203.xml
||||0|||Pontifícia Universidade Católica de Minas Gerais|Professor|||||Especialista em Melhoria do Processo e Qualidade de Software, Professor, Analista de Sistemas/Requisitos at Montreal Oficial||||7|cv22313.xml
||||0|||Experience|Analista de Relações do Trabalho e Benefícios|||||Humanos, Analista de Relações do Trabalho e Benefícios, Analista de Gestão de Pessoas||||14|cv38544.xml
|||||||B e S COMÉRCIO E INSTALAÇÕES LTDA ME|Aux. Administrativo/Secretaria/Vendas|||4|Bachelor|Aux. Administrativo, Operador, Operador Nível JR|||||cv7866.xml
||||0|||Nec Latin America SA|Gerente de projeto|||5|Master|Gerente de projetos responsável pelo servise-desk, Gerente de projetos, Gerente de projetos||||20|cv14034.xml
|||||||CTIS Tecnologia S/A - SICOOB|Consultor de Tecnologia|||5|Master|Consultor de Tecnologia, Consultor de Tecnologia||||7|cv19581.xml
|||||||Engemasa Engenharia Ltda|Técnico Nível Médio I|||4|Bachelor|Auxiliar de Escritório, Técnico Nível Médio I||||3|cv32783.xml
|||||||Artcontato Consultoria Brasília - DF|Gestor de Conteúdos Digitais|||5|Master|Gestor de Conteúdos Digitais, Relações Públicas||||29|cv9488.xml
|||||||Aeronáutica|2º Tenente (Chefe Adjunto da Sessão de Informática)|||5|Master|Programador, Programador, Programador||||7|cv12295.xml
||||0|||Stefanini|Senior Developer|||||||||1|cv23028.xml
|||||||Infosys Lodestone|Technology Lead|||3|University|Software Engineer, Front-End Engineer||||2|cv30076.xml
||||||||||||||||||cv13715.xml
|||||||Universidade Estácio de Sá Sistemas de Informação - Bacharelado, Tecnologia da Informação|Activities and|||||Operador de Help Desk, Estagiário de tecnologia da informação, OPERADOR DE TELEMARKETING ATIVO||||7|cv21306.xml
||||0|||Indra Brasil (Fabrica de SoŌware|Desenvolvedor Junior|||4|Bachelor|Estagiário de desenvolvimento, Programador Junior, Desenvolvedor Junior||||4|cv104.xml
|||||||Caixa Seguradora|Gerente de Projetos|||5|Master|Gestão de Projetos, Gestão de Projetos (PMO) Developer, Gestão de Projetos||||28|cv4991.xml
|||||||Grupo Ideia Tecnologia da informação|Analista de negócios Jr.|||||Técnico em informática, e 4||||6|cv18246.xml
||||0|||Altran Consultoria em Tecnologia - São Paulo/SP|Analista de Recrutamento|||4|Bachelor|Assistente de Recrutamento e Seleção, Assistente de Recrutamento e Seleção, Auxiliar de RH||||5|cv39283.xml
|||||||Banco Itaú S/A|Operadora de Financiamento|||4|Bachelor|Operadora de Financiamento, Auxiliar Administrativa, Auxiliar de Recursos Humanos||||8|cv33260.xml
|||||||BRUNO DINIZ CALÇADOS|TÉCNICO EM INFORMÁTICA|||||TÉCNICO EM INFORMÁTICA, TÉCNICO EM INFORMÁTICA, TÉCNICO EM INFORMÁTICA||||3|cv5684.xml
|||||||Brasília|Técnico de Informática|||4|Bachelor|||||0|cv22029.xml
||||0|||Stefanini|Programador Sênior|||||Analista de Sistemas, Analista de Sistemas, Analista de Sistemas||||10|cv36283.xml
|||||||Stefanini IT Solutions - Polícia Federal|Analista de Requisito Sênior|||4|Bachelor|Analista de Requisito Sênior, Analista de Requisito, Especialista da Qualidade||||19|cv15678.xml
|||||||Capgemini Brasil - Brasilia - Brasil|Consultor|||4|Bachelor|Desenvolvedor Java Senior, Líder Técnico/Desenvolvedor Java Sr, IT Specialist||||8|cv19230.xml
|||||||SINESP Brasília - DF|Gerente de Software|||||Coordenador de Teste, Analista de Teste, Analista de Teste||||18|cv17321.xml
||||0|||Experience|Técnico de suporte at IOS Informática, Organização e Sistemas S.A|||||Técnico de Infraestrutura Jr, Service Desk Analyst, Analista de Suporte e Monitoramento||||6|cv21536.xml
|||||||SESDF/EBSERH - Central IT|Técnico de Suporte 1°|||1|Secondary Education|Suporte Técnico Júnior, Professor de Informática e Auxiliar Administrativo||||5|cv5158.xml
|||||||AC Serviços|Operadora de Telemarketing|||4|Bachelor|Operadora de telemarketing, Estagiária, Recepcionista||||4|cv5613.xml
||||0|||Ericsson de Gestão e Serviços Ltda|Analista de Telecomunicações Senior|||4|Bachelor|Tecnólogo em Telecomunicações||||11|cv20165.xml
|||||||CTIS - Tecnologia|Testador|||4|Bachelor|Estagiario||||2|cv26370.xml
||||0||||coordenador de sistemas|||||coordenador de sistemas, Assessor, Coordenador de Desenvolvimento de Sistemas||||13|cv25573.xml
|||||||Cast Informática S/A|Especialista em Governança de TI e SIC.|||4|Bachelor|Analista de Licitação, Analista de Suporte, Assessor Parlamentar. Secretária. NUVEP. Acompanhamento de Projetos de Lei||||13|cv4215.xml
|||||||Central IT - Governança Corporativa|Analista comercial|||||Assistente Comercial||||5|cv10595.xml
||||0|||Hostel7|Recepcionista trilingue|||4|Bachelor|Estagiário, Estagiário, Estagiário|||||cv34143.xml
|||||||Muri Consultoria em Telecomunicações LTDA|Analista de telecomunicações|||4|Bachelor|Coordenador de Transportes, Auditor-líder, Jovem aprendiz||||6|cv34229.xml
|||||||Objeto Sim|Assessoria de Imprensa Cultural|||4|Bachelor|Assessoria de Imprensa Cultural, Redatora, Assessora de Imprensa||||13|cv16077.xml
|||||||Experience|Anaslista de Sistemas|||||Analista de sistemas, Analista de sistemas||||14|cv27906.xml
|||||||Cast Informática|Analista de Métricas|||5|Master|Analista de Requisitos, Analista de Requisitos, Programador||||19|cv6952.xml
|||||||Agência Nacional de Águas ( MMA )|Estagiário de TI.|||4|Bachelor|Técnico de RH, Técnico de Infraestrutura, Técnico de Suporte||||9|cv15774.xml
|||||||Feira da construção|Vendedor|||4|Bachelor|Vendedor||||5|cv21962.xml
||||0|||Eletrônica Colorsom|Analista de estoque, vendedor balcão, auxiliar e-commerce, atendente balcão, atendente e-commerce, pós-vendas|||4|Bachelor|Verdureiro, Analista de estoque, vendedor balcão, auxiliar e-commerce, atendente balcão, atendente e-commerce, pós-vendas||||6|cv37169.xml
||||0|||Instituição Junior Achievement|Miniempresa|||4|Bachelor|Auxiliar Administrativo, Miniempresa||||2|cv4154.xml
||||0|||Experience|Diretor de operações|||||Gerente de Operações AM, Gerente de Atendimento, Gerente de Atendimento||||15|cv21237.xml
|||||||MEC(Ministério da Educação)|Estagiário (Suporte Informática)|||4|Bachelor|Auxiliar Operacional||||1|cv27682.xml
|||||||EJB 3|Líder de Teste|||||Líder de Teste, Analista de testes Sênior, Analista de Teste Sênior||||11|cv25473.xml
||||0|||Comercio de Frutas e Verduras Kobayashi|Gerente de empresa|||4|Bachelor|estagiário em suporte (estágio supervisionado).||||12|cv17639.xml
|||||||CNPQ/ CTIS Tecnologia S.A|Analista de Sistemas|||5|Master|Analista/Desenvolvedor, Analista BI, Líder Técnico||||16|cv33311.xml
|||||||Publicenter Informatica Ltda|Líder de desenvolvimento e coordenador de portfólio|||4|Bachelor|Analista de Sistemas Senior||||5|cv12466.xml
||||0|||Computação|Analista de Sistemas - Pleno|||||Analista de Sistemas - Pleno, Testador, Programador||||5|cv23145.xml
|||||||SCM Engenharia de Telecomunicações|Supervisor|||||Operador de Call Center||||2|cv5810.xml
|||||||Yoursoft Tecnologia e Autônomo|Programação na linguagem C# e plataforma .NET|||5|Master|||||2|cv4087.xml
|||||||Datamec|Analista de Sistemas|||4|Bachelor|Analista de Sistemas, Analista de Sistemas e Processos, Analista de Rede de||||3|cv2105.xml
|||||||CTIS/SONDA|Desenvolvedor.NET|||4|Bachelor|Analista de Sistemas, Diretor - Proprietário, Analista de Sistemas||||18|cv12347.xml
||||0|||Myplanet|Drupal developer|||4|Bachelor|Software Developer, Software Developer, Software Developer||||4|cv38428.xml
|||||||Gptec Informática Ltda. - ME|Auxiliar Financeiro|||4|Bachelor|Técnico Administrativo de Telemarketing, Estágio Supervisionado, Estágio Supervisionado||||10|cv9571.xml
||||0||||||||||||||cv21743.xml
||||0|||smartphones;|Técnica de Suporte N2, Central IT Governança Corporativa em DF|||4|Bachelor|Suporte Técnico de Informática, Suporte Tecnico ­ TI, Corretor Imobiliário||||4|cv29261.xml
||||0|||Grupo Empreza|Consultora de Recursos Humanos|||5|Master|Consultoria Viva Talentos Humanos, Consultora de Recursos Humanos (Freelancer), Consultora de Recursos Humanos||||7|cv37532.xml
||||0|||||||5|Master||||||cv33453.xml
|||||||Globalweb Data Services Corp|Diretora Comercial de Serviços|||5|Master|Gerente de Projetos e Diretora substituta de Operações, Líder de equipe, Analista de requisitos e Desenvolvimento Web||||12|cv10641.xml
|||||||SICOOB Confederação|Analista de Suporte II|||4|Bachelor|Analista I de Serviços, Gerente de RH e DP, Assistente Administrativo||||11|cv16011.xml
|||||||JorlanVeículaLTDA|SuporteTécnicodeInformática|||1|Secondary Education|Assistente Administrativo, Empacotador||||11|cv27616.xml
||||0|||Polícia Federal|Estágio|||4|Bachelor|||||3|cv26505.xml
|||||||Stefanini IT Solutions|Analista de Produção|||||Estagiário||||2|cv127.xml
||||0|||Agência de Eventos|Conferente A1|||5|Master|Assistente Administrativo, Conferente A1, Técnico Contábil||||11|cv27319.xml
|||||||Elemidia Mais Consultoria|Auxiliar Técnico|||4|Bachelor|Auxiliar Técnico||||3|cv10806.xml
||||0||||Analista Programador|||4|Bachelor|Analista Programador||||4|cv19488.xml
||||0|||"DESENVOLVEDOR WEB | ESCRITÓRIO DE PROJETOS DO EXÉRCITO"||||2|Vocational Education|||||2|cv18209.xml
||||0|||SOUZA CRUZ|Operacional|||5|Master|Diretoria, Coordenador de Operações, Administrativo||||9|cv34682.xml
|||||||Nimbi|Analista de Testes Pleno|||5|Master|Analista de Testes Jr III, Analista de Testes I, Analista Funcional Jr II||||9|cv33121.xml
||||0|||TM Solutions|Técnico Suporte em Telefonia /Telecom - Sênior|||4|Bachelor|Supervisor, Estágio de Engenharia Elétrica, Técnico Suporte em Telefonia /Telecom||||12|cv15096.xml
|||||||PD Case / Cliente BRB - Banco de Brasília|Analista Desenvolvedor ASP/Delphi|||||Analista Desenvolvedor, Analista Desenvolvedor ASP/ Delphi, Estagiário em TI||||9|cv9435.xml
||||0||||Vendedora Interna|||4|Bachelor|Vendedora Interna, professor, Gerente||||9|cv29251.xml
||||0|||INFO INTELIGENCE|ANALISTA DE QUALIDADE|||4|Bachelor|||||1|cv14551.xml
|||||||Stefanini|Analista de Sistemas Sênior|||5|Master|Analista de Sistemas, Analista de Sistemas, Analista de Sistemas||||16|cv34118.xml
||||0|||Escola Técnica de Brasília|Técnico em Informática, Tecnologia da Informação|||5|Master|Analista de Suporte, Técnico em Informática, Técnico em Informática, Tecnologia da Informação||||9|cv21867.xml
|||||||Desenvolvedor java at Indra|Desenvolvedor Java|||5|Master|Técnico de Informática, Estagiário||||8|cv21449.xml
||||0|||Farmacia, Otica opção em DF||||4|Bachelor|||||7|cv29233.xml
|||||||Central IT|Prestador de Serviço|||4|Bachelor|Estagiário pela empresa CIEE., Estagiário pela empresa CIEE., Prestador de serviço||||12|cv4353.xml
|||||||PH-SERVICE|Agente de portaria|||4|Bachelor|Assistente de cobranças, Almoxarife, repositor, vendas,estoquista|||||cv7546.xml
||||0|||­ Serviços, schin em DF|Vendedor externa|||5|Master|Vendedor externa||||6|cv29910.xml
|||||||Instituto Publix|Consultor|||4|Bachelor|Estagiária da Produção, Coordenadora de Coaching, Consultora de Negócios||||3|cv15999.xml
|||||||CAIXA CRESCER em DF|Analista de Sistemas|||4|Bachelor|de TI, Analista de Sistemas, Gerente de TI||||10|cv29587.xml
|||||||Itaú Unibanco|Product Owner|||5|Master|Gerente de Projetos/Scrum Master, Analista de Sistemas Sr., Analista de Sistemas Sr||||13|cv34028.xml
||||||||ANALISTA DE SISTEMAS|||1|Secondary Education|ANALISTA DE SISTEMA Sênior||||7|cv9438.xml
||||0|||Experience|Assistente Júnior|||||Analista de Desenvolvimento Java Sênior, Programador Java Pleno, Programador Java Jr.||||9|cv21509.xml
|||||||Y2 Interactive|Programador Front|||1|Secondary Education|Desenvolvedor de Sistema Web Digital Pixel Desenvolvimento Web||||9|cv1751.xml
||||0|||WS, JAX­RS|Arquiteto Java|||5|Master|Analista de Sistemas Java, Desenvolvedor Java||||4|cv188.xml
||||0|||Ministerio de Agricultura pecuaria e Abastecimento em DF|Engenheiro Agrícola|||4|Bachelor|||||5|cv29422.xml
|||||||Faculdade ICESP|Auxiliar de Informatica|||1|Secondary Education|vendedor/montador, Estagiário, Auxiliar de Informatica||||9|cv8954.xml
|||||||NOVA TECNOLOGIA EM EDUCAÇÃO LTDA|Estagiário|||1|Secondary Education|||||0|cv33717.xml
|||||||||||4|Bachelor||||||cv7127.xml
|||||||Indra Company|Analista de Sistemas Senior|||4|Bachelor|Programador Pleno, Analista Programador, Programador. Carteira não assinada||||5|cv1218.xml
|||||||Stefanini|Desenvolvedor .net PL|||4|Bachelor|Programador PL, Programador Jr., Estagiário||||7|cv12965.xml
||||0|||Experience|Psicólogo clínico e Life Coach|||||Psicólogo clínico e Life Coach, Gerente, Consultor de Treinamento e Capacitação||||5|cv38713.xml
|||||||Universidade de Brasília em DF|Bolsista|||4|Bachelor|Bolsista, Estagiário, Estagiário de Sistemas, Tribunal de Contas||||9|cv29253.xml
||||0|||Montreal Informática LTDA|Técnico de Suporte Pleno|||4|Bachelor|||||8|cv19617.xml
||||0|||CTIS|Tele Operador de Atendimento|||4|Bachelor|Garçom||||1|cv18834.xml
