LanguageProficiencyCode|LanguageProficiencyCodeDescription|LanguageSkillCode|LanguageSkillCodeDescription|id
2|Basic Knowledge|FR|French|cv18722.xml
||||cv20735.xml
||||cv5335.xml
3|Intermediate|EN|English|cv33681.xml
2|Basic Knowledge|ES|Spanish|cv33681.xml
3|Intermediate|EN|English|cv27108.xml
||EN|English|cv15522.xml
||||cv26495.xml
||||cv17794.xml
3|Intermediate|EN|English|cv33927.xml
||||cv33108.xml
||||cv6449.xml
||||cv10063.xml
||||cv20023.xml
3|Intermediate|PT|Portuguese|cv5215.xml
3|Intermediate|EN|English|cv5215.xml
3|Intermediate|EN|English|cv34412.xml
||||cv622.xml
6|Native|PT|Portuguese|cv29888.xml
2|Basic Knowledge|EN|English|cv29888.xml
4|Advanced|EN|English|cv12427.xml
||ES|Spanish|cv12427.xml
||||cv27180.xml
||||cv884.xml
||||cv27048.xml
3|Intermediate|EN|English|cv16069.xml
||||cv27066.xml
||||cv36755.xml
||||cv12017.xml
||||cv31078.xml
3|Intermediate|EN|English|cv10072.xml
||||cv27795.xml
||||cv35936.xml
5|Near Native|EN|English|cv32678.xml
4|Advanced|EN|English|cv4461.xml
||||cv10240.xml
||||cv10557.xml
3|Intermediate|EN|English|cv2152.xml
||||cv11385.xml
||||cv15009.xml
2|Basic Knowledge|ES|Spanish|cv17948.xml
||||cv18910.xml
||PT|Portuguese|cv37597.xml
3|Intermediate|EN|English|cv37597.xml
3|Intermediate|EN|English|cv26471.xml
2|Basic Knowledge|EN|English|cv5698.xml
2|Basic Knowledge|ES|Spanish|cv5698.xml
||||cv7916.xml
3|Intermediate|EN|English|cv18121.xml
4|Advanced|EN|English|cv27862.xml
2|Basic Knowledge|EN|English|cv34783.xml
||||cv8398.xml
||||cv38643.xml
||||cv37907.xml
3|Intermediate|EN|English|cv36708.xml
3|Intermediate|JA|japanese|cv36708.xml
||||cv38526.xml
||||cv14997.xml
||||cv36541.xml
||EN|English|cv13022.xml
||ES|Spanish|cv13022.xml
4|Advanced|EN|English|cv12240.xml
2|Basic Knowledge|ES|Spanish|cv12240.xml
||||cv23052.xml
||||cv14282.xml
3|Intermediate|EN|English|cv12451.xml
||||cv7296.xml
||||cv17716.xml
||||cv5357.xml
||||cv20898.xml
||||cv27535.xml
3|Intermediate|EN|English|cv14199.xml
||||cv33068.xml
6|Native|PT|Portuguese|cv29146.xml
||||cv27560.xml
||||cv1442.xml
||||cv25925.xml
6|Native|PT|Portuguese|cv29857.xml
||||cv1483.xml
||||cv8219.xml
||||cv21421.xml
3|Intermediate|EN|English|cv27115.xml
3|Intermediate|EN|English|cv36145.xml
4|Advanced|EN|English|cv327.xml
3|Intermediate|ES|Spanish|cv327.xml
||||cv32970.xml
||||cv7043.xml
||||cv26497.xml
3|Intermediate|EN|English|cv10213.xml
5|Near Native|ES|Spanish|cv10213.xml
||ST|Southern Sotho|cv10213.xml
||||cv14697.xml
3|Intermediate|EN|English|cv37063.xml
||||cv22236.xml
3|Intermediate|EN|English|cv5709.xml
2|Basic Knowledge|ES|Spanish|cv5709.xml
||||cv7549.xml
||EN|English|cv33850.xml
||ES|Spanish|cv33850.xml
||IT|Italian|cv33850.xml
||||cv12132.xml
||||cv9480.xml
||||cv38960.xml
6|Native|PT|Portuguese|cv16126.xml
||||cv10144.xml
||||cv9575.xml
3|Intermediate|EN|English|cv33350.xml
||EN|English|cv27111.xml
||||cv38325.xml
3|Intermediate|EN|English|cv15520.xml
3|Intermediate|ES|Spanish|cv15520.xml
||||cv27043.xml
||||cv3912.xml
||||cv38631.xml
4|Advanced|EN|English|cv36893.xml
2|Basic Knowledge|IT|Italian|cv36893.xml
||EN|English|cv27624.xml
4|Advanced|EN|English|cv27624.xml
2|Basic Knowledge|EN|English|cv14443.xml
||||cv27581.xml
3|Intermediate|EN|English|cv17594.xml
3|Intermediate|ES|Spanish|cv17594.xml
||EN|English|cv14478.xml
3|Intermediate|EN|English|cv12777.xml
||||cv6441.xml
6|Native|PT|Portuguese|cv29326.xml
2|Basic Knowledge|EN|English|cv29326.xml
||||cv12689.xml
||||cv7268.xml
||||cv2199.xml
3|Intermediate|ES|Spanish|cv35061.xml
4|Advanced|EN|English|cv27728.xml
3|Intermediate|DE|German|cv27728.xml
3|Intermediate|ES|Spanish|cv27728.xml
3|Intermediate|EN|English|cv29247.xml
6|Native|PT|Portuguese|cv29247.xml
3|Intermediate|ES|Spanish|cv29247.xml
||||cv21869.xml
||||cv27666.xml
||||cv34283.xml
||||cv22250.xml
||||cv23146.xml
4|Advanced|FF|Fulah|cv34992.xml
||EN|English|cv34992.xml
||||cv11316.xml
3|Intermediate|EN|English|cv6927.xml
3|Intermediate|ES|Spanish|cv6927.xml
||||cv6278.xml
||||cv26930.xml
||||cv27107.xml
4|Advanced|EN|English|cv33891.xml
||EN|English|cv19098.xml
||ES|Spanish|cv19098.xml
||EN|English|cv13840.xml
||ES|Spanish|cv13840.xml
||||cv17860.xml
||||cv38992.xml
||||cv14741.xml
||||cv22070.xml
||||cv22442.xml
3|Intermediate|EN|English|cv34428.xml
5|Near Native|EN|English|cv35237.xml
2|Basic Knowledge|FR|French|cv35237.xml
||||cv21571.xml
||||cv17259.xml
||||cv12086.xml
3|Intermediate|EN|English|cv24065.xml
2|Basic Knowledge|ES|Spanish|cv24065.xml
2|Basic Knowledge|IT|Italian|cv24065.xml
||||cv27162.xml
||||cv21210.xml
||||cv18141.xml
4|Advanced|EN|English|cv4031.xml
2|Basic Knowledge|ES|Spanish|cv4031.xml
||||cv23407.xml
3|Intermediate|EN|English|cv20226.xml
||||cv25505.xml
||EN|English|cv17748.xml
4|Advanced|EN|English|cv30107.xml
3|Intermediate|EN|English|cv14481.xml
||||cv3124.xml
4|Advanced|EN|English|cv18843.xml
||||cv20812.xml
||||cv27638.xml
3|Intermediate|EN|English|cv23224.xml
3|Intermediate|DE|German|cv23224.xml
4|Advanced|EN|English|cv20895.xml
||||cv18557.xml
4|Advanced|EN|English|cv12459.xml
||||cv22384.xml
||||cv34690.xml
3|Intermediate|EN|English|cv15719.xml
||ES|Spanish|cv15719.xml
||||cv7560.xml
||||cv27468.xml
||||cv11365.xml
||||cv19696.xml
||||cv8648.xml
3|Intermediate|EN|English|cv7910.xml
||||cv2509.xml
||||cv30727.xml
||||cv27894.xml
3|Intermediate|EN|English|cv12824.xml
||||cv35056.xml
2|Basic Knowledge|EN|English|cv9097.xml
2|Basic Knowledge|ES|Spanish|cv9097.xml
||||cv1897.xml
4|Advanced|EN|English|cv6019.xml
||||cv25810.xml
||||cv4532.xml
||||cv27255.xml
||||cv33195.xml
||||cv35188.xml
||EN|English|cv34282.xml
2|Basic Knowledge|ES|Spanish|cv34282.xml
||||cv14088.xml
||||cv9776.xml
4|Advanced|EN|English|cv5801.xml
||||cv19710.xml
2|Basic Knowledge|ES|Spanish|cv7580.xml
3|Intermediate|EN|English|cv10678.xml
||||cv37645.xml
3|Intermediate|||cv13058.xml
3|Intermediate|EN|English|cv13058.xml
||||cv5886.xml
||||cv19118.xml
4|Advanced|PT|Portuguese|cv11646.xml
6|Native|ES|Spanish|cv11646.xml
||||cv22829.xml
||||cv38324.xml
2|Basic Knowledge|EN|English|cv14882.xml
3|Intermediate|EN|English|cv35064.xml
||||cv8088.xml
4|Advanced|ES|Spanish|cv6504.xml
3|Intermediate|EN|English|cv6504.xml
4|Advanced|EN|English|cv2866.xml
3|Intermediate|ES|Spanish|cv2866.xml
3|Intermediate|EN|English|cv1835.xml
2|Basic Knowledge|EN|English|cv11230.xml
3|Intermediate|EN|English|cv14502.xml
2|Basic Knowledge|ES|Spanish|cv14502.xml
||||cv22916.xml
||||cv22352.xml
||||cv22354.xml
4|Advanced|EN|English|cv27607.xml
4|Advanced|EN|English|cv10343.xml
||||cv11904.xml
||EN|English|cv38953.xml
||||cv33819.xml
||||cv38043.xml
||||cv30774.xml
3|Intermediate|EN|English|cv17664.xml
||||cv3047.xml
3|Intermediate|EN|English|cv10304.xml
||||cv30340.xml
||||cv21825.xml
||||cv28879.xml
6|Native|PT|Portuguese|cv29214.xml
||||cv21889.xml
||||cv32662.xml
||||cv28890.xml
||||cv13819.xml
||||cv7117.xml
||||cv16195.xml
||||cv37673.xml
||||cv36517.xml
4|Advanced|EN|English|cv12509.xml
||||cv24235.xml
||EN|English|cv9043.xml
||||cv38991.xml
3|Intermediate|EN|English|cv15102.xml
2|Basic Knowledge|ES|Spanish|cv15102.xml
||||cv34879.xml
||||cv9945.xml
2|Basic Knowledge|EN|English|cv18554.xml
2|Basic Knowledge|ES|Spanish|cv18554.xml
||||cv4926.xml
5|Near Native|PT|Portuguese|cv215.xml
3|Intermediate|EN|English|cv215.xml
2|Basic Knowledge|ES|Spanish|cv215.xml
||||cv7223.xml
3|Intermediate|EN|English|cv17483.xml
3|Intermediate|EN|English|cv2193.xml
||ES|Spanish|cv2193.xml
||EN|English|cv12958.xml
||||cv21668.xml
||EN|English|cv9209.xml
||||cv10776.xml
||||cv32454.xml
||||cv16089.xml
3|Intermediate|EN|English|cv9890.xml
3|Intermediate|ES|Spanish|cv14380.xml
3|Intermediate|EN|English|cv14380.xml
2|Basic Knowledge|EN|English|cv3654.xml
2|Basic Knowledge|ES|Spanish|cv3654.xml
||||cv13794.xml
||||cv20121.xml
||||cv9221.xml
3|Intermediate|EN|English|cv2308.xml
||||cv11033.xml
||||cv1681.xml
||||cv19444.xml
||||cv11672.xml
2|Basic Knowledge|EN|English|cv5707.xml
||||cv36511.xml
||||cv12833.xml
||||cv1824.xml
||||cv17249.xml
||||cv6388.xml
3|Intermediate|EN|English|cv19730.xml
2|Basic Knowledge|EN|English|cv35334.xml
2|Basic Knowledge|ES|Spanish|cv35334.xml
||||cv18064.xml
||||cv20910.xml
3|Intermediate|EN|English|cv308.xml
||||cv7543.xml
||||cv33716.xml
6|Native|PT|Portuguese|cv2019.xml
3|Intermediate|EN|English|cv2019.xml
3|Intermediate|FR|French|cv2019.xml
3|Intermediate|EN|English|cv12373.xml
||||cv22825.xml
||||cv14877.xml
||EN|English|cv4479.xml
||ES|Spanish|cv4479.xml
||ES|Spanish|cv20196.xml
||EN|English|cv20196.xml
||||cv38492.xml
||||cv8342.xml
||||cv7295.xml
||||cv15767.xml
3|Intermediate|EN|English|cv29987.xml
||||cv1169.xml
||EN|English|cv18659.xml
||||cv22551.xml
||EN|English|cv3202.xml
3|Intermediate|EN|English|cv22101.xml
||ES|Spanish|cv22101.xml
||EN|English|cv24412.xml
||EN|English|cv33330.xml
3|Intermediate|EN|English|cv30053.xml
||EN|English|cv18268.xml
||||cv26065.xml
||||cv27420.xml
3|Intermediate|EN|English|cv9744.xml
3|Intermediate|ES|Spanish|cv9744.xml
2|Basic Knowledge|EN|English|cv4803.xml
||JV|Javanese|cv5159.xml
||SR|Serbian|cv5159.xml
4|Advanced|EN|English|cv19344.xml
4|Advanced|EN|English|cv12897.xml
||||cv11307.xml
||||cv747.xml
3|Intermediate|EN|English|cv10605.xml
3|Intermediate|ES|Spanish|cv10605.xml
3|Intermediate|EN|English|cv5746.xml
||||cv22724.xml
5|Near Native|EN|English|cv3164.xml
||||cv25705.xml
||||cv12345.xml
3|Intermediate|EN|English|cv24393.xml
||||cv10164.xml
||||cv8454.xml
||||cv27207.xml
||||cv9347.xml
3|Intermediate|EN|English|cv26487.xml
||||cv1795.xml
3|Intermediate|EN|English|cv8304.xml
||ES|Spanish|cv8304.xml
5|Near Native|EN|English|cv27201.xml
3|Intermediate|EN|English|cv3245.xml
3|Intermediate|ES|Spanish|cv3245.xml
||EN|English|cv21135.xml
||ES|Spanish|cv21135.xml
||ES|Spanish|cv2252.xml
||EN|English|cv2252.xml
4|Advanced|EN|English|cv6450.xml
||EN|English|cv33164.xml
||||cv36719.xml
||||cv1603.xml
4|Advanced|||cv2826.xml
||EN|English|cv2826.xml
||||cv21577.xml
||||cv12037.xml
||||cv2810.xml
3|Intermediate|EN|English|cv1952.xml
||||cv31340.xml
||||cv3661.xml
||||cv22862.xml
||||cv27057.xml
4|Advanced|EN|English|cv29101.xml
6|Native|PT|Portuguese|cv29101.xml
2|Basic Knowledge|ES|Spanish|cv29101.xml
2|Basic Knowledge|FR|French|cv29101.xml
3|Intermediate|ES|Spanish|cv11902.xml
3|Intermediate|EN|English|cv11902.xml
3|Intermediate|EN|English|cv8844.xml
||||cv30778.xml
4|Advanced|EN|English|cv7053.xml
||||cv15442.xml
||||cv37997.xml
||||cv20957.xml
||||cv11489.xml
||ES|Spanish|cv1992.xml
||FR|French|cv1992.xml
||EN|English|cv1992.xml
5|Near Native|EN|English|cv19076.xml
2|Basic Knowledge|ES|Spanish|cv19076.xml
||||cv14201.xml
||||cv17309.xml
||||cv515.xml
||||cv17509.xml
||||cv14590.xml
3|Intermediate|EN|English|cv15697.xml
3|Intermediate|EN|English|cv6383.xml
||EN|English|cv19184.xml
4|Advanced|ES|Spanish|cv19184.xml
||FR|French|cv19184.xml
4|Advanced|EN|English|cv13085.xml
||EN|English|cv12414.xml
||||cv23117.xml
||||cv26245.xml
||EN|English|cv2965.xml
||||cv7361.xml
||||cv31196.xml
||||cv37593.xml
||||cv20959.xml
3|Intermediate|ES|Spanish|cv18139.xml
||||cv21584.xml
||||cv35060.xml
3|Intermediate|EN|English|cv38863.xml
||||cv39415.xml
3|Intermediate|EN|English|cv37394.xml
||||cv37363.xml
||||cv23366.xml
||||cv9547.xml
||||cv27499.xml
||||cv2068.xml
||||cv19859.xml
5|Near Native|EN|English|cv12834.xml
||||cv38355.xml
||||cv6793.xml
3|Intermediate|EN|English|cv14075.xml
||ES|Spanish|cv14075.xml
3|Intermediate|EN|English|cv20755.xml
||||cv37151.xml
||||cv22400.xml
3|Intermediate|EN|English|cv35070.xml
2|Basic Knowledge|ES|Spanish|cv35070.xml
||||cv26426.xml
6|Native|PT|Portuguese|cv29078.xml
3|Intermediate|EN|English|cv29078.xml
2|Basic Knowledge|ES|Spanish|cv29078.xml
||EN|English|cv27237.xml
||||cv2283.xml
||||cv21942.xml
||||cv17234.xml
||||cv7155.xml
||||cv19388.xml
||EN|English|cv34727.xml
6|Native|PT|Portuguese|cv29737.xml
2|Basic Knowledge|EN|English|cv29737.xml
5|Near Native|EN|English|cv12620.xml
||EN|English|cv33135.xml
||||cv12025.xml
||||cv6712.xml
||EN|English|cv1659.xml
||EN|English|cv33233.xml
||||cv33690.xml
||||cv13020.xml
4|Advanced|EN|English|cv16133.xml
||ES|Spanish|cv16133.xml
||||cv9024.xml
||||cv12707.xml
||||cv16057.xml
||||cv27303.xml
5|Near Native|ES|Spanish|cv31206.xml
5|Near Native|EN|English|cv31206.xml
6|Native|PT|Portuguese|cv29969.xml
||EN|English|cv1315.xml
||||cv19967.xml
||EN|English|cv35052.xml
4|Advanced|EN|English|cv39397.xml
2|Basic Knowledge|ES|Spanish|cv39397.xml
||||cv20964.xml
||||cv23382.xml
||||cv33874.xml
4|Advanced|EN|English|cv10116.xml
||||cv12571.xml
||||cv37939.xml
||PT|Portuguese|cv14871.xml
||EN|English|cv14871.xml
||||cv10145.xml
3|Intermediate|EN|English|cv37177.xml
||||cv14125.xml
3|Intermediate|EN|English|cv17276.xml
||ES|Spanish|cv17276.xml
3|Intermediate|ES|Spanish|cv15591.xml
||EN|English|cv15591.xml
||||cv35306.xml
||||cv21392.xml
||||cv38148.xml
2|Basic Knowledge|EN|English|cv6182.xml
2|Basic Knowledge|ES|Spanish|cv6182.xml
5|Near Native|EN|English|cv5658.xml
4|Advanced|EN|English|cv17442.xml
3|Intermediate|ES|Spanish|cv17442.xml
5|Near Native|PT|Portuguese|cv12904.xml
4|Advanced|EN|English|cv12904.xml
2|Basic Knowledge|EN|English|cv14767.xml
3|Intermediate|EN|English|cv172.xml
2|Basic Knowledge|EN|English|cv14093.xml
2|Basic Knowledge|ES|Spanish|cv14093.xml
5|Near Native|FR|French|cv14093.xml
2|Basic Knowledge|JA|japanese|cv14093.xml
4|Advanced|EN|English|cv13008.xml
2|Basic Knowledge|ES|Spanish|cv36974.xml
3|Intermediate|EN|English|cv36974.xml
||||cv38561.xml
4|Advanced|EN|English|cv11180.xml
3|Intermediate|EN|English|cv12899.xml
5|Near Native|EN|English|cv30762.xml
2|Basic Knowledge|EN|English|cv27409.xml
||||cv2234.xml
||||cv38369.xml
4|Advanced|EN|English|cv14184.xml
4|Advanced|EN|English|cv33253.xml
2|Basic Knowledge|ES|Spanish|cv29955.xml
2|Basic Knowledge|EN|English|cv29955.xml
6|Native|PT|Portuguese|cv29955.xml
||||cv15055.xml
||EN|English|cv1469.xml
2|Basic Knowledge|EN|English|cv2418.xml
||EN|English|cv27218.xml
||ES|Spanish|cv27218.xml
||||cv11897.xml
||||cv700.xml
||EN|English|cv904.xml
||||cv7323.xml
||||cv26176.xml
||||cv1822.xml
3|Intermediate|EN|English|cv15095.xml
||EN|English|cv2204.xml
3|Intermediate|EN|English|cv34532.xml
||||cv21709.xml
||||cv27599.xml
||||cv23089.xml
||||cv18981.xml
||||cv21196.xml
||||cv32640.xml
4|Advanced|EN|English|cv193.xml
||ES|Spanish|cv193.xml
3|Intermediate|EN|English|cv34841.xml
3|Intermediate|ES|Spanish|cv34841.xml
4|Advanced|EN|English|cv27344.xml
3|Intermediate|FR|French|cv27344.xml
3|Intermediate|EN|English|cv14857.xml
||EN|English|cv8355.xml
||||cv21972.xml
4|Advanced|EN|English|cv36877.xml
2|Basic Knowledge|ES|Spanish|cv36877.xml
3|Intermediate|EN|English|cv15378.xml
3|Intermediate|EN|English|cv34711.xml
3|Intermediate|ES|Spanish|cv34711.xml
2|Basic Knowledge|EN|English|cv28875.xml
||||cv3891.xml
||||cv4260.xml
4|Advanced|EN|English|cv9048.xml
5|Near Native|PT|Portuguese|cv9048.xml
||||cv33662.xml
||||cv35938.xml
||||cv22310.xml
||||cv15097.xml
||||cv34898.xml
||||cv33524.xml
||||cv30200.xml
2|Basic Knowledge|PT|Portuguese|cv29532.xml
||||cv33975.xml
||||cv21091.xml
4|Advanced|EN|English|cv703.xml
3|Intermediate|ES|Spanish|cv703.xml
||||cv15943.xml
||EN|English|cv788.xml
||EN|English|cv19916.xml
||ES|Spanish|cv19916.xml
5|Near Native|PT|Portuguese|cv17492.xml
4|Advanced|EN|English|cv17492.xml
||ES|Spanish|cv17492.xml
2|Basic Knowledge|EN|English|cv35051.xml
||EN|English|cv37634.xml
||||cv37634.xml
||ES|Spanish|cv37634.xml
||EU|Basque|cv37634.xml
||||cv7844.xml
||EN|English|cv17423.xml
5|Near Native|EN|English|cv5664.xml
||||cv33778.xml
||||cv36436.xml
||EN|English|cv27294.xml
||||cv13768.xml
||||cv25571.xml
||||cv3761.xml
||EN|English|cv2255.xml
||||cv35251.xml
||||cv21331.xml
||||cv1057.xml
||EN|English|cv14101.xml
6|Native|PT|Portuguese|cv29774.xml
4|Advanced|ES|Spanish|cv29774.xml
2|Basic Knowledge|FR|French|cv29774.xml
4|Advanced|EN|English|cv29774.xml
2|Basic Knowledge|RU|Russian|cv29774.xml
2|Basic Knowledge|AR|Arabic|cv29774.xml
||||cv38370.xml
4|Advanced|EN|English|cv17646.xml
3|Intermediate|EN|English|cv15247.xml
||||cv22843.xml
||||cv13078.xml
4|Advanced|EN|English|cv7574.xml
4|Advanced|EN|English|cv10018.xml
||EN|English|cv36933.xml
||||cv27691.xml
||EN|English|cv18015.xml
||||cv27495.xml
3|Intermediate|EN|English|cv2436.xml
3|Intermediate|EN|English|cv2436.xml
||||cv1107.xml
4|Advanced|EN|English|cv39155.xml
||||cv33702.xml
||||cv34425.xml
||||cv21806.xml
||EN|English|cv34930.xml
3|Intermediate|JA|japanese|cv34930.xml
||||cv13814.xml
2|Basic Knowledge|EN|English|cv34645.xml
||||cv30763.xml
||||cv7057.xml
3|Intermediate|EN|English|cv38040.xml
||||cv3664.xml
||||cv836.xml
||||cv25493.xml
4|Advanced|EN|English|cv8659.xml
6|Native|PT|Portuguese|cv29081.xml
3|Intermediate|EN|English|cv29081.xml
||||cv26244.xml
||||cv2049.xml
||||cv8042.xml
||||cv30083.xml
4|Advanced|EN|English|cv17844.xml
3|Intermediate|EN|English|cv12389.xml
4|Advanced|EN|English|cv8307.xml
||||cv7559.xml
6|Native|PT|Portuguese|cv29757.xml
3|Intermediate|EN|English|cv29757.xml
||||cv19378.xml
6|Native|ES|Spanish|cv7612.xml
5|Near Native|EN|English|cv7612.xml
5|Near Native|PT|Portuguese|cv7612.xml
||||cv22022.xml
||||cv19511.xml
||||cv30113.xml
6|Native|PT|Portuguese|cv29217.xml
6|Native|PT|Portuguese|cv29342.xml
2|Basic Knowledge|EN|English|cv29342.xml
||||cv25615.xml
||||cv12976.xml
||||cv25296.xml
||||cv15834.xml
||||cv34570.xml
||||cv38056.xml
2|Basic Knowledge|EN|English|cv39276.xml
||||cv21887.xml
||||cv22531.xml
||||cv9649.xml
||||cv26319.xml
||||cv4248.xml
||||cv10306.xml
4|Advanced|EN|English|cv21180.xml
3|Intermediate|EN|English|cv12643.xml
||TW|Twi|cv12643.xml
||||cv18321.xml
||||cv33398.xml
||||cv30556.xml
||||cv321.xml
2|Basic Knowledge|ES|Spanish|cv15019.xml
2|Basic Knowledge|EN|English|cv15019.xml
||||cv21772.xml
||||cv15464.xml
||EN|English|cv1116.xml
||||cv32790.xml
4|Advanced|EN|English|cv34161.xml
||||cv21530.xml
||||cv7145.xml
||||cv22026.xml
3|Intermediate|ES|Spanish|cv1647.xml
3|Intermediate|EN|English|cv1647.xml
||||cv19670.xml
||EN|English|cv30033.xml
||EN|English|cv30790.xml
||||cv25749.xml
||||cv11204.xml
3|Intermediate|EN|English|cv10748.xml
2|Basic Knowledge|IT|Italian|cv10748.xml
2|Basic Knowledge|ES|Spanish|cv10748.xml
6|Native|PT|Portuguese|cv29808.xml
2|Basic Knowledge|FR|French|cv29808.xml
2|Basic Knowledge|EN|English|cv29808.xml
2|Basic Knowledge|IT|Italian|cv29808.xml
||EN|English|cv1888.xml
||ES|Spanish|cv1888.xml
||||cv11062.xml
4|Advanced|EN|English|cv9179.xml
4|Advanced|EN|English|cv33858.xml
||EN|English|cv10037.xml
||||cv6957.xml
||||cv3674.xml
||ES|Spanish|cv20659.xml
||EN|English|cv20659.xml
||EN|English|cv17346.xml
||EN|English|cv2080.xml
||||cv15092.xml
3|Intermediate|EN|English|cv5322.xml
||||cv25813.xml
||||cv38313.xml
||||cv24433.xml
||||cv9156.xml
||EN|English|cv8214.xml
||||cv355.xml
||||cv21489.xml
||||cv6570.xml
||||cv25764.xml
4|Advanced|EN|English|cv15167.xml
3|Intermediate|ES|Spanish|cv15167.xml
||PT|Portuguese|cv3956.xml
||EN|English|cv3956.xml
||||cv7578.xml
||||cv32907.xml
||||cv17443.xml
3|Intermediate|EN|English|cv2822.xml
||||cv11640.xml
||||cv10162.xml
||||cv27539.xml
6|Native|PT|Portuguese|cv34649.xml
3|Intermediate|EN|English|cv34649.xml
3|Intermediate|ES|Spanish|cv34649.xml
6|Native|PT|Portuguese|cv29439.xml
2|Basic Knowledge|EN|English|cv29439.xml
||||cv17324.xml
||||cv12581.xml
||||cv37644.xml
||EN|English|cv2714.xml
||ES|Spanish|cv2714.xml
2|Basic Knowledge|FR|French|cv29077.xml
6|Native|PT|Portuguese|cv29077.xml
3|Intermediate|EN|English|cv29077.xml
||||cv32837.xml
2|Basic Knowledge|ES|Spanish|cv33179.xml
4|Advanced|EN|English|cv26957.xml
||||cv20496.xml
||||cv17317.xml
3|Intermediate|EN|English|cv32773.xml
||||cv540.xml
||||cv5651.xml
4|Advanced|EN|English|cv17482.xml
3|Intermediate|EN|English|cv15840.xml
3|Intermediate|FR|French|cv15840.xml
4|Advanced|EN|English|cv9070.xml
4|Advanced|EN|English|cv34306.xml
||||cv36432.xml
||||cv15370.xml
3|Intermediate|EN|English|cv12784.xml
||||cv15949.xml
3|Intermediate|EN|English|cv17945.xml
3|Intermediate|ES|Spanish|cv17945.xml
||TW|Twi|cv17945.xml
3|Intermediate|ES|Spanish|cv12147.xml
2|Basic Knowledge|EN|English|cv12147.xml
||||cv25741.xml
||||cv30675.xml
||||cv22278.xml
3|Intermediate|ES|Spanish|cv39059.xml
||EN|English|cv37672.xml
||EN|English|cv10651.xml
||ES|Spanish|cv10651.xml
||||cv9193.xml
||||cv9548.xml
||||cv11043.xml
||||cv39044.xml
||||cv22380.xml
||EN|English|cv10316.xml
||ES|Spanish|cv10316.xml
||||cv37374.xml
3|Intermediate|EN|English|cv38841.xml
2|Basic Knowledge|ES|Spanish|cv38841.xml
2|Basic Knowledge|FR|French|cv38841.xml
4|Advanced|EN|English|cv32992.xml
||||cv20220.xml
||EN|English|cv568.xml
||||cv19397.xml
5|Near Native|PT|Portuguese|cv9705.xml
3|Intermediate|EN|English|cv9705.xml
||||cv38176.xml
3|Intermediate|EN|English|cv8923.xml
||||cv24313.xml
||||cv21873.xml
||||cv11616.xml
6|Native|PT|Portuguese|cv29730.xml
4|Advanced|EN|English|cv1748.xml
||||cv26313.xml
4|Advanced|EN|English|cv33146.xml
||||cv25533.xml
||||cv36379.xml
3|Intermediate|EN|English|cv2198.xml
||||cv21290.xml
||||cv32708.xml
||||cv21447.xml
4|Advanced|EN|English|cv37323.xml
||||cv35402.xml
||||cv19844.xml
||||cv1546.xml
3|Intermediate|ES|Spanish|cv733.xml
6|Native|PT|Portuguese|cv29678.xml
4|Advanced|EN|English|cv29678.xml
||EN|English|cv10691.xml
||||cv2653.xml
4|Advanced|EN|English|cv79.xml
3|Intermediate|EN|English|cv49.xml
||||cv36474.xml
3|Intermediate|EN|English|cv2643.xml
||||cv8931.xml
2|Basic Knowledge|EN|English|cv39181.xml
||ES|Spanish|cv8221.xml
||||cv8879.xml
||||cv20658.xml
||||cv1348.xml
||||cv14268.xml
3|Intermediate|EN|English|cv34401.xml
||EN|English|cv14191.xml
5|Near Native|EN|English|cv21638.xml
5|Near Native|ES|Spanish|cv21638.xml
||EN|English|cv676.xml
||||cv20604.xml
||||cv22253.xml
||ES|Spanish|cv20115.xml
||EN|English|cv20115.xml
6|Native|EN|English|cv12239.xml
||||cv38811.xml
2|Basic Knowledge|EN|English|cv15189.xml
3|Intermediate|EN|English|cv14745.xml
||||cv36472.xml
4|Advanced|EN|English|cv33026.xml
||||cv34706.xml
||||cv20793.xml
2|Basic Knowledge|EN|English|cv11144.xml
4|Advanced|FR|French|cv11144.xml
||||cv9232.xml
||||cv3766.xml
||EN|English|cv8282.xml
2|Basic Knowledge|||cv9603.xml
2|Basic Knowledge|EN|English|cv9603.xml
||||cv21670.xml
||||cv21337.xml
||||cv22459.xml
||||cv27525.xml
3|Intermediate|EN|English|cv17441.xml
||FR|French|cv17441.xml
||||cv35242.xml
6|Native|PT|Portuguese|cv29816.xml
||||cv23082.xml
4|Advanced|EN|English|cv34374.xml
3|Intermediate|EN|English|cv33277.xml
||||cv33666.xml
||||cv19041.xml
||||cv38463.xml
4|Advanced|EN|English|cv34548.xml
2|Basic Knowledge|ES|Spanish|cv34548.xml
3|Intermediate|EN|English|cv15086.xml
2|Basic Knowledge|EN|English|cv10538.xml
4|Advanced|EN|English|cv33797.xml
3|Intermediate|ES|Spanish|cv32765.xml
||EN|English|cv12592.xml
||ES|Spanish|cv24228.xml
||EN|English|cv24228.xml
||||cv10009.xml
||EN|English|cv9318.xml
||EN|English|cv15843.xml
3|Intermediate|EN|English|cv36553.xml
5|Near Native|EN|English|cv9732.xml
4|Advanced|EN|English|cv2067.xml
2|Basic Knowledge|ES|Spanish|cv2067.xml
5|Near Native|EN|English|cv36944.xml
||||cv24367.xml
4|Advanced|EN|English|cv6029.xml
2|Basic Knowledge|ES|Spanish|cv6029.xml
